松山區,合尊酒店S_Hotel,5200,6000,5200,5200,6000,6000,0,0,0,0,3.7
松山區,台北商旅慶城館,3900,7800,3900,7800,4500,7800,0,0,0,0,4.5
松山區,諾帝克商務國際飯店,2800,6300,2800,5800,3300,6300,0,0,0,0,5.0
松山區,松河璞旅,2500,3800,2100,3400,2500,3800,0,0,0,0,4.4
松山區,王朝大酒店,6050,7,700,6050,7700,6050,7700,0,0,0,0,4.0
中山區,A防疫旅館,2350,3950,2350,3150,3150,3950,0,0,0,0,3.9
中山區,天閣酒店台北林森,2600,4300,2600,3800,3100,4300,2300,3600,2800,4100,4.3
中山區,柯達大飯店台北天津,2300,5600,2300,4800,3100,5600,0,0,0,0,4.1
中山區,福泰桔子商務旅館林森店,2200,6800,2200,6000,3000,6800,0,0,0,0,3.8
中山區,捷絲旅林森館,3500,3800,3500,3800,3500,3800,0,0,0,0,4.1
中山區,洛碁大飯店林森館,3600,4100,3600,3600,4100,4100,0,0,0,0,3.6
中山區,六福客棧,3000,3000,3000,3000,3000,3000,0,0,0,0,3.4
中山區,京都商務旅館,2800,6300,2800,5500,3600,6300,0,0,0,0,4.3
中山區,俐仕飯店,2500,5500,2500,5000,2500,5000,2100,4600,2100,4600,3.9
中山區,東京國際飯店,2500,9000,2500,8200,3300,9000,0,0,0,0,4.3
中山區,台北華國大飯店,4800,6500,4800,6500,4800,6500,0,0,0,0,4.1
中山區,台北中山意舍酒店,4200,7200,4200,6200,4200,6200,0,0,0,0,4.2
中山區,天閣酒店台北長安,4000,8400,3600,8400,3600,8400,0,0,0,0,4.1
中山區,雀客旅館,2600,3500,2600,3500,2600,3500,0,0,0,0,4.0
中山區,天閣酒店台北南西,3800,6000,3800,6000,3800,6000,0,0,0,0,4.2
中山區,台北馥華商旅,3000,5500,3000,5500,3000,5500,2600,5100,2600,5100,4.1
中山區,柯達大飯店台北二店,2600,6000,2600,5200,3400,6000,0,0,0,0,4.2
中山區,新凱飯店,3200,4000,2800,3500,3200,4000,0,0,0,0,3.6
中山區,同一大飯店,2800,4800,2800,4200,3200,4800,0,0,0,0,3.3
中山區,上賓大飯店,1500,2300,1500,2000,1800,2300,0,0,0,0,3.7
中山區,美麗信花園酒店,4500,7600,4500,5000,5300,5800,0,0,0,0,4.2
中山區,世方旅居文旅,2500,3500,2500,3500,2500,3500,0,0,0,0,3.4
中山區,六福居,4500,5500,4500,5500,4500,5500,0,0,0,0,4.2
中山區,盤古捷旅,3800,4900,3800,4900,3800,4900,0,0,0,0,0
